LEARNING_RATE,HIDDEN_CHANNELS,DROPOUT,WEIGHT_DECAY,MRR,Recall@1,Recall@5,Recall@10
5e-05,256,0.1,0.001,0.35866060439491776,0.24059833561571684,0.480669967344359,0.5904350574107237
5e-05,256,0.1,0.01,0.35685492554478343,0.24165174338986622,0.47371747603497316,0.5883282418624249
5e-05,256,0.1,0.05,0.3558806891284046,0.23965026861898242,0.47740440324449596,0.5885389234172548
5e-05,256,0.2,0.001,0.3380009956651455,0.22247972190034762,0.4580217002001475,0.573159169914674
5e-05,256,0.2,0.01,0.33927666561465747,0.22785210154850943,0.45149057200042136,0.56304645528284
5e-05,256,0.2,0.05,0.33376862877911784,0.2173180238070157,0.45170125355525126,0.5668387232697777
5e-05,256,0.3,0.001,0.3141486746004148,0.20088486253028548,0.42884230485620983,0.5450331823448857
5e-05,256,0.3,0.01,0.3165624495448827,0.20278099652375434,0.43168650584641316,0.5486147687769936
5e-05,256,0.3,0.05,0.30788105318775655,0.19867270620457178,0.41736016011798166,0.5296534288423048
5e-05,256,0.4,0.001,0.2948233986982653,0.18255556726008637,0.40492994838301904,0.5200674180975455
5e-05,256,0.4,0.01,0.294742250540179,0.1835036342568208,0.4048246076056041,0.514273675339724
5e-05,256,0.4,0.05,0.2954513244611126,0.18371431581165068,0.40545665227009375,0.5205941219846203
5e-05,256,0.5,0.001,0.2718847116154853,0.16728115453492046,0.3724849889392184,0.4795112187927947
5e-05,256,0.5,0.01,0.27606807386442705,0.1682292215316549,0.3787000948066997,0.49468029074054565
5e-05,256,0.5,0.05,0.26900462843417355,0.16275150110607817,0.3720636258295586,0.48161803434109346
5e-05,512,0.1,0.001,0.5404540271657784,0.4263141261982513,0.6679658695881175,0.7592963236068683
5e-05,512,0.1,0.01,0.5377198697193845,0.4245233329821974,0.6615400821658064,0.7544506478457811
5e-05,512,0.1,0.05,0.5433870095634474,0.42726219319498576,0.677446539555462,0.7645633624776151
5e-05,512,0.2,0.001,0.5125419467706418,0.3940798483092805,0.6463710102180554,0.7372801011271464
5e-05,512,0.2,0.01,0.5102342571157578,0.3927104182028863,0.6425787422311177,0.7333824923627936
5e-05,512,0.2,0.05,0.5139606770409566,0.3996629095122722,0.641946697566628,0.7374907826819762
5e-05,512,0.3,0.001,0.48229838080061016,0.3650057937427578,0.6132940061097651,0.7074686611187191
5e-05,512,0.3,0.01,0.48368980464290845,0.3650057937427578,0.6147687769935742,0.7151585378700095
5e-05,512,0.3,0.05,0.48542035625626173,0.36900874328452543,0.6129779837775203,0.709259454334773
5e-05,512,0.4,0.001,0.45434050084854416,0.33687980617296953,0.581586432107869,0.6841883493100179
5e-05,512,0.4,0.01,0.45265526908555,0.33624776150847996,0.5834825661013379,0.6760771094490677
5e-05,512,0.4,0.05,0.45131884180462656,0.3342462867375961,0.5803223427788897,0.6800800589908353
5e-05,512,0.5,0.001,0.4094245293343385,0.2952701990940693,0.52954808806489,0.6358369324765617
5e-05,512,0.5,0.01,0.41531704437574224,0.29906246708100703,0.5410302328031181,0.6466870325503002
5e-05,512,0.5,0.05,0.41939795083764264,0.3065416622774676,0.5386073949225745,0.6433161276730223
5e-05,768,0.1,0.001,0.6559967275875884,0.5508269251027073,0.7787843674286317,0.8534709786158222
5e-05,768,0.1,0.01,0.6563742503871683,0.5488254503318234,0.7839460655219636,0.8565258611608554
5e-05,768,0.1,0.05,0.6555707061211102,0.5511429474349521,0.7800484567576109,0.8526282523965026
5e-05,768,0.2,0.001,0.625696618126804,0.5170125355525124,0.7524491730748973,0.8331402085747392
5e-05,768,0.2,0.01,0.624925269416229,0.5179606025492468,0.7469714526493205,0.8241862424944696
5e-05,768,0.2,0.05,0.6235053949519552,0.5162751501106078,0.7491836089750342,0.8262930580427683
5e-05,768,0.3,0.001,0.5877797761187968,0.47719372168966606,0.7157905825344991,0.796586958811756
5e-05,768,0.3,0.01,0.5934976606912973,0.4824607605604129,0.7184241019698725,0.805014221004951
5e-05,768,0.3,0.05,0.5861840628773866,0.47487622458653744,0.7138944485410302,0.7955335510376067
5e-05,768,0.4,0.001,0.5544321678922315,0.44137785736858737,0.682292215316549,0.7695143790161172
5e-05,768,0.4,0.01,0.554526610427675,0.4425366059201517,0.6821868745391341,0.7704624460128515
5e-05,768,0.4,0.05,0.5569878627543243,0.443695354471716,0.6853470978615822,0.7694090382387022
5e-05,768,0.5,0.001,0.5150013694901286,0.4026124512798904,0.6428947645633625,0.7350679448014327
5e-05,768,0.5,0.01,0.5173240113098092,0.4044032444959444,0.6424734014537027,0.7335931739176235
5e-05,768,0.5,0.05,0.5168800232163939,0.4048246076056041,0.6426840830085326,0.7300115874855156
0.0001,256,0.1,0.001,0.4882270699530064,0.36974612872643,0.6230906984093543,0.7191614874117771
0.0001,256,0.1,0.01,0.4888713512456074,0.37122089961023913,0.6191930896450015,0.7154745602022543
0.0001,256,0.1,0.05,0.4794966271128829,0.3593173917623512,0.6161382070999684,0.7152638786474245
0.0001,256,0.2,0.001,0.4560253214091724,0.336142420731065,0.5854840408722216,0.6893500474033498
0.0001,256,0.2,0.01,0.45899389074199565,0.33951332560834296,0.593173917623512,0.6875592541872959
0.0001,256,0.2,0.05,0.46126876020668633,0.33961866638575794,0.594964710839566,0.6964078794901506
0.0001,256,0.3,0.001,0.42369570359281455,0.3050668913936585,0.5527230590961761,0.6591172442852629
0.0001,256,0.3,0.01,0.4297061073951139,0.31233540503528917,0.5553565785315495,0.6613294006109766
0.0001,256,0.3,0.05,0.434221267871473,0.31370483514168335,0.569893605814811,0.6681765511429474
0.0001,256,0.4,0.001,0.4070971580797045,0.289055093226588,0.5389234172548193,0.6384704519119351
0.0001,256,0.4,0.01,0.4081972111306431,0.2887390708943432,0.5352364900452965,0.6463710102180554
0.0001,256,0.4,0.05,0.408625599583273,0.29189929421679134,0.5299694511745496,0.6372063625829558
0.0001,256,0.5,0.001,0.3736140014254872,0.2562941114505425,0.49510165385020544,0.6068682186874539
0.0001,256,0.5,0.01,0.3686803743311424,0.2515537764668703,0.49689244706625935,0.5960181186137153
0.0001,256,0.5,0.05,0.3811373831343021,0.26788159696618563,0.4976298325081639,0.6093963973454124
0.0001,512,0.1,0.001,0.6796855402968516,0.5788475718950806,0.8013272937954282,0.8701148214473823
0.0001,512,0.1,0.01,0.6763867998428174,0.5715790582534499,0.8055409248920257,0.8703255030022121
0.0001,512,0.1,0.05,0.6798591830175374,0.5766354155693669,0.8012219530180132,0.8708522068892869
0.0001,512,0.2,0.001,0.6475607858350138,0.5401875065837985,0.7718318761192458,0.8451490572000422
0.0001,512,0.2,0.01,0.6413655717285853,0.5341830822711472,0.766354155693669,0.847045191193511
0.0001,512,0.2,0.05,0.6454891749966805,0.5376593279258401,0.7711998314547561,0.8464131465290213
0.0001,512,0.3,0.001,0.6106848027674021,0.5022648267144212,0.7384388496787107,0.811756030759507
0.0001,512,0.3,0.01,0.6112428094850721,0.5011060781628568,0.7393869166754451,0.8189192036237227
0.0001,512,0.3,0.05,0.60579086334736,0.4960497208469398,0.732645106920889,0.8147055725271253
0.0001,512,0.4,0.001,0.5712662624801825,0.45939113030654166,0.700832192141578,0.7865795849573369
0.0001,512,0.4,0.01,0.5641367082969567,0.45106920889076163,0.6938797008321922,0.7821552723059096
0.0001,512,0.4,0.05,0.5679069383492721,0.45770567786790267,0.6909301590645739,0.7805751606446856
0.0001,512,0.5,0.001,0.5299756870675421,0.4129358474665543,0.6623828083851259,0.7490782681976192
0.0001,512,0.5,0.01,0.5255793164425409,0.4097756241441062,0.6556409986305699,0.7474981565363953
0.0001,512,0.5,0.05,0.5296377781585854,0.4164120931212472,0.6573264510692088,0.7503423575265985
0.0001,768,0.1,0.001,0.7855334610920227,0.6999894659222585,0.8885494574949964,0.936163488886548
0.0001,768,0.1,0.01,0.7920402790800823,0.7094701358896028,0.8903402507110503,0.9378489413251869
0.0001,768,0.1,0.05,0.7869273860735183,0.7024123038028021,0.8928684293690088,0.9354261034446434
0.0001,768,0.2,0.001,0.7515067059292041,0.6593279258400927,0.8610555145896976,0.9168861266196144
0.0001,768,0.2,0.01,0.7457860352794099,0.653639523859686,0.8545243863899715,0.9149899926261456
0.0001,768,0.2,0.05,0.7490943410976841,0.6576424734014537,0.8596860844833035,0.9139365848519962
0.0001,768,0.3,0.001,0.7116537237019367,0.6126619614452755,0.8302960075845359,0.89076161382071
0.0001,768,0.3,0.01,0.7126922026422591,0.6154008216580639,0.8281891920362372,0.8884441167175814
0.0001,768,0.3,0.05,0.7081465813220521,0.6097124196776572,0.8266090803750131,0.8912883177077847
