LEARNING_RATE,HIDDEN_CHANNELS,DROPOUT,WEIGHT_DECAY,MRR,Recall@1,Recall@5,Recall@10
5e-05,256,0.1,0.001,0.3545562521717149,0.23490993363531024,0.480669967344359,0.5922258506267776
5e-05,256,0.1,0.01,0.35754859268828953,0.24207310649952596,0.4778257663541557,0.5905403981881386
5e-05,256,0.1,0.05,0.3548068545545705,0.2384915200674181,0.47656167702517643,0.5951753923943959
5e-05,256,0.2,0.001,0.3288986225197594,0.2164752975876962,0.4408511534815127,0.5567260086379437
5e-05,256,0.2,0.01,0.3462185997525057,0.23153902875803223,0.46360476140313917,0.5777941641209312
5e-05,256,0.2,0.05,0.3354655269102529,0.2170020014747709,0.4563362477615085,0.5724217844727694
5e-05,256,0.3,0.001,0.3134388422867744,0.20288633730116928,0.4262087854208364,0.5392394395870641
5e-05,256,0.3,0.01,0.3125019833195034,0.19972611397872117,0.42536605920151693,0.5374486463710102
5e-05,256,0.3,0.05,0.3171875516297941,0.20678394606552197,0.42578742231117667,0.542926366796587
5e-05,256,0.4,0.001,0.29019374153312183,0.18171284104076688,0.39386916675445066,0.5151164015590435
5e-05,256,0.4,0.01,0.28258549805520433,0.17286421573791214,0.3909196249868324,0.5094279995786369
5e-05,256,0.4,0.05,0.2946256819171277,0.18329295270199095,0.4041925629411145,0.5204887812072053
5e-05,256,0.5,0.001,0.25963342804809675,0.15474560202254292,0.35889602865269143,0.46908248182871587
5e-05,256,0.5,0.01,0.27146367596359056,0.16601706520594123,0.36964078794901506,0.4882545033182345
5e-05,256,0.5,0.05,0.27251694912947316,0.16664910987043086,0.36964078794901506,0.49288949752449174
5e-05,512,0.1,0.001,0.5419655726443329,0.42694617086274095,0.6736542715685242,0.7649847255872748
5e-05,512,0.1,0.01,0.5382041128667455,0.42125776888233435,0.6707047298009059,0.7627725692615611
5e-05,512,0.1,0.05,0.5413197179102687,0.42515537764668704,0.670599389023491,0.7632992731486359
5e-05,512,0.2,0.001,0.5095547773368216,0.39186769198356686,0.6400505635731591,0.7346465816917729
5e-05,512,0.2,0.01,0.5044784804410203,0.3863899715579901,0.6344675023701675,0.7315916991467397
5e-05,512,0.2,0.05,0.5106456752148509,0.39386916675445066,0.6399452227957443,0.7372801011271464
5e-05,512,0.3,0.001,0.4870789447648172,0.3721689666069736,0.613504687664595,0.7089434320025282
5e-05,512,0.3,0.01,0.4851771118080604,0.3682713578426209,0.6178236595386074,0.7128410407668808
5e-05,512,0.3,0.05,0.4842372377916623,0.3669019277362267,0.6155061624354787,0.7111555883282419
5e-05,512,0.4,0.001,0.45797141364331034,0.34309491204045084,0.5821131359949436,0.6842936900874328
5e-05,512,0.4,0.01,0.4486400889371071,0.3328768566312019,0.5742125776888234,0.6778679026651216
5e-05,512,0.4,0.05,0.45312985753278673,0.33624776150847996,0.5820077952175287,0.6789213104392711
5e-05,512,0.5,0.001,0.4113240943532713,0.29337406510060043,0.5360792162646161,0.6444748762245865
5e-05,512,0.5,0.01,0.4159473143969162,0.29979985252291164,0.5421889813546824,0.6497419150953334
5e-05,512,0.5,0.05,0.41355898167513355,0.299167807858422,0.5389234172548193,0.638681133466765
5e-05,768,0.1,0.001,0.657790791848423,0.5507215843252923,0.7833140208574739,0.8516801853997682
5e-05,768,0.1,0.01,0.6545005906694511,0.5488254503318234,0.7750974402191089,0.84873064363215
5e-05,768,0.1,0.05,0.6619337159914996,0.5569366901927736,0.7854208364057726,0.8569472242705151
5e-05,768,0.2,0.001,0.6237385194531493,0.5136416306752344,0.7506583798588433,0.8320868008005899
5e-05,768,0.2,0.01,0.6254072497295384,0.5178552617718318,0.7493942905298641,0.8255556726008638
